,time,open,high,low,close,vwap,volume,count
0,2020-05-10 18:00:00,66.502,66.546,63.411,65.639,64.682,794.26289588,356.0
1,2020-05-10 22:00:00,65.6,67.321,65.6,66.712,66.708,290.326232,144.0
2,2020-05-11 02:00:00,66.792,67.667,66.193,66.193,66.972,27.98584188,23.0
3,2020-05-11 06:00:00,66.193,66.367,64.506,65.343,65.885,319.05560828,127.0
4,2020-05-11 10:00:00,65.343,66.637,64.801,66.179,65.396,610.87768676,149.0
5,2020-05-11 14:00:00,66.227,67.645,65.386,65.397,66.617,487.32932739,136.0
6,2020-05-11 18:00:00,65.62,65.8,61.265,65.111,63.182,980.11191341,408.0
7,2020-05-11 22:00:00,65.14,65.536,63.946,65.135,64.58,224.36254704,79.0
8,2020-05-12 02:00:00,65.033,65.526,64.439,65.079,65.018,75.11326848,23.0
9,2020-05-12 06:00:00,64.882,66.672,64.882,66.147,65.734,77.24828323,56.0
10,2020-05-12 10:00:00,66.068,69.269,66.001,68.35,67.117,1004.89832211,239.0
11,2020-05-12 14:00:00,68.704,69.134,67.16,67.97,68.237,260.43414129,89.0
12,2020-05-12 18:00:00,68.122,68.122,67.3,67.702,67.667,144.68800651,73.0
13,2020-05-12 22:00:00,67.234,67.839,66.113,67.725,66.857,323.47807944,114.0
14,2020-05-13 02:00:00,67.725,68.095,67.366,68.088,67.878,112.42380426,22.0
15,2020-05-13 06:00:00,68.088,68.088,66.738,67.353,67.072,39.75521614,18.0
16,2020-05-13 10:00:00,67.182,67.781,66.901,67.76,67.457,82.19828798,42.0
17,2020-05-13 14:00:00,67.76,68.973,67.0,68.632,68.011,864.80867446,212.0
18,2020-05-13 18:00:00,68.964,69.053,68.003,68.499,68.361,492.24311692,62.0
19,2020-05-13 22:00:00,68.536,69.177,68.14,68.533,68.825,247.14115356,100.0
20,2020-05-14 02:00:00,68.337,68.605,68.196,68.291,68.377,10.17096565,10.0
21,2020-05-14 06:00:00,68.649,69.218,68.0,68.686,68.539,410.55929996,101.0
22,2020-05-14 10:00:00,68.5,70.305,68.244,69.631,69.382,438.69568682,199.0
23,2020-05-14 14:00:00,69.544,69.598,68.758,69.46,69.11,243.71455596,77.0
24,2020-05-14 18:00:00,69.086,69.502,68.132,69.374,68.694,151.39510226,64.0
25,2020-05-14 22:00:00,69.378,69.551,69.0,69.044,69.215,62.98632929,35.0
26,2020-05-15 02:00:00,69.011,69.323,68.0,68.284,68.238,378.26298277,87.0
27,2020-05-15 06:00:00,68.228,68.642,67.571,68.642,68.149,199.9943584,58.0
28,2020-05-15 10:00:00,68.519,69.0,67.891,68.9,68.122,278.41756322,69.0
29,2020-05-15 14:00:00,68.533,68.536,67.638,67.84,68.122,241.03837273,84.0
30,2020-05-15 18:00:00,68.113,68.419,67.003,67.486,68.077,131.84565974,47.0
31,2020-05-15 22:00:00,67.294,67.664,66.452,66.8,66.958,118.40392301,76.0
32,2020-05-16 02:00:00,66.987,68.315,66.8,67.916,67.669,81.71327846,38.0
33,2020-05-16 06:00:00,68.325,68.64,67.955,68.0,68.119,111.54250047,67.0
34,2020-05-16 10:00:00,67.913,68.588,67.913,68.2,68.263,120.22968952,44.0
35,2020-05-16 14:00:00,68.529,68.6,68.0,68.0,68.446,51.37828289,22.0
36,2020-05-16 18:00:00,68.0,68.285,67.565,68.123,67.898,14.47576185,19.0
37,2020-05-16 22:00:00,68.123,68.6,68.123,68.293,68.411,20.03965755,18.0
38,2020-05-17 02:00:00,68.259,71.124,68.095,70.551,70.185,310.19949138,166.0
39,2020-05-17 06:00:00,70.607,70.616,69.892,70.16,70.333,203.88130797,61.0
40,2020-05-17 10:00:00,70.481,70.56,69.872,70.488,70.157,40.07748866,44.0
41,2020-05-17 14:00:00,70.51,70.735,70.002,70.501,70.429,117.14429297,64.0
42,2020-05-17 18:00:00,70.501,70.574,69.621,69.889,70.067,546.20672992,119.0
43,2020-05-17 22:00:00,69.889,69.942,69.196,69.323,69.685,387.07465662,109.0
44,2020-05-18 02:00:00,69.196,71.7,69.196,71.476,70.928,263.2230786,133.0
45,2020-05-18 06:00:00,71.478,72.046,70.788,71.051,71.303,237.36952866,153.0
46,2020-05-18 10:00:00,71.168,71.385,69.785,70.03,70.287,520.78361696,203.0
47,2020-05-18 14:00:00,70.12,70.684,69.7,69.764,70.317,1118.68783926,352.0
48,2020-05-18 18:00:00,69.764,69.94,69.105,69.432,69.568,109.23915539,79.0
49,2020-05-18 22:00:00,69.432,69.845,69.225,69.845,69.646,134.17784965,39.0
50,2020-05-19 02:00:00,69.871,69.871,68.362,68.421,68.838,47.82355849,37.0
51,2020-05-19 06:00:00,68.411,69.24,68.002,68.7,68.69,79.29377796,50.0
52,2020-05-19 10:00:00,68.67,69.997,68.67,69.058,69.468,247.47351791,83.0
53,2020-05-19 14:00:00,68.958,69.497,68.569,69.284,69.163,103.41874028,45.0
54,2020-05-19 18:00:00,69.829,69.964,69.539,69.815,69.764,180.04161405,35.0
55,2020-05-19 22:00:00,69.815,70.7,69.771,70.7,70.241,147.36573601,95.0
56,2020-05-20 02:00:00,70.744,71.749,70.324,71.151,71.172,316.22861178,105.0
57,2020-05-20 06:00:00,71.151,71.203,70.483,70.699,70.722,213.56644462,66.0
58,2020-05-20 10:00:00,70.64,71.16,70.278,70.665,70.78,334.55226646,80.0
59,2020-05-20 14:00:00,70.665,70.917,68.64,68.739,69.507,302.76928691,127.0
60,2020-05-20 18:00:00,68.56,70.111,68.45,70.111,69.631,176.75579002,67.0
61,2020-05-20 22:00:00,69.862,71.642,69.862,71.404,71.051,360.12443748,130.0
62,2020-05-21 02:00:00,71.4,71.712,70.458,70.458,71.217,258.72114046,180.0
63,2020-05-21 06:00:00,70.461,71.305,70.0,70.0,70.469,123.34667342,78.0
64,2020-05-21 10:00:00,70.205,70.304,68.703,69.127,69.213,431.57584996,122.0
65,2020-05-21 14:00:00,69.252,69.252,65.542,66.88,67.555,305.1062578,296.0
66,2020-05-21 18:00:00,66.711,66.946,64.838,66.647,66.036,311.55175963,182.0
67,2020-05-21 22:00:00,66.647,67.47,66.305,66.99,66.872,690.66090039,105.0
68,2020-05-22 02:00:00,66.744,67.17,66.335,66.376,66.622,88.55159619,55.0
69,2020-05-22 06:00:00,66.678,68.75,66.621,68.708,67.463,240.51917801,79.0
70,2020-05-22 10:00:00,68.708,69.189,68.068,68.764,68.581,879.33916774,133.0
71,2020-05-22 14:00:00,68.948,69.169,67.853,68.846,68.511,1181.71005986,193.0
72,2020-05-22 18:00:00,68.846,69.4,68.13,68.6,68.925,305.20521348,117.0
73,2020-05-22 22:00:00,68.6,69.121,68.44,68.44,68.956,131.59496513,54.0
74,2020-05-23 02:00:00,68.544,69.4,68.544,69.335,68.915,77.40153341,32.0
75,2020-05-23 06:00:00,69.335,69.335,68.077,68.641,68.557,41.73989002,30.0
76,2020-05-23 10:00:00,68.641,68.641,66.825,68.037,67.328,877.19808854,125.0
77,2020-05-23 14:00:00,67.867,68.365,67.488,68.2,67.883,103.01301224,49.0
78,2020-05-23 18:00:00,68.156,68.324,67.677,68.105,68.065,154.94987848,50.0
79,2020-05-23 22:00:00,68.046,68.521,67.698,67.698,68.2,54.56748139,41.0
80,2020-05-24 02:00:00,67.698,68.28,67.698,68.28,68.056,4.46443858,4.0
