,time,open,high,low,close,vwap,volume,count
0,2020-08-08 23:00:00,82.5,83.254,82.5,83.254,82.928,49.06338937,25.0
1,2020-08-09 00:00:00,83.254,83.462,82.9,83.322,82.996,25.28091457,9.0
2,2020-08-09 01:00:00,83.322,83.322,82.551,82.932,82.719,2.14204113,7.0
3,2020-08-09 02:00:00,83.304,83.448,83.026,83.3,83.178,7.83386069,7.0
4,2020-08-09 03:00:00,83.623,83.623,82.729,82.729,83.247,11.2809266,7.0
5,2020-08-09 04:00:00,82.729,83.328,82.729,82.897,83.249,30.52701722,11.0
6,2020-08-09 05:00:00,82.897,82.897,82.897,82.897,0.0,0.0,0.0
7,2020-08-09 06:00:00,83.186,83.26,82.608,82.608,83.079,74.58294532,39.0
8,2020-08-09 07:00:00,82.658,82.658,82.479,82.479,82.54,3.62449681,6.0
9,2020-08-09 08:00:00,82.542,82.852,82.542,82.733,82.74,15.88908445,13.0
10,2020-08-09 09:00:00,82.733,83.3,82.7,83.3,82.862,67.08169281,35.0
11,2020-08-09 10:00:00,83.271,83.304,82.877,82.879,83.086,96.43329639,32.0
12,2020-08-09 11:00:00,82.879,83.237,82.139,82.276,82.746,52.8313878,33.0
13,2020-08-09 12:00:00,82.274,82.8,82.247,82.8,82.597,52.31480751,26.0
14,2020-08-09 13:00:00,82.8,83.54,82.757,83.301,83.126,233.91012022,39.0
15,2020-08-09 14:00:00,83.301,83.301,82.316,82.589,82.634,16.73341227,7.0
16,2020-08-09 15:00:00,82.589,82.811,81.772,82.168,82.294,93.2514064,43.0
17,2020-08-09 16:00:00,82.168,82.383,80.862,81.121,81.629,141.8933792,63.0
18,2020-08-09 17:00:00,81.121,81.773,80.804,81.51,81.192,92.61291212,29.0
19,2020-08-09 18:00:00,81.558,81.915,80.7,80.756,81.478,63.78507797,33.0
20,2020-08-09 19:00:00,80.756,81.509,80.756,81.069,81.188,36.14240857,25.0
21,2020-08-09 20:00:00,81.069,81.687,81.069,81.687,81.552,5.01225667,10.0
22,2020-08-09 21:00:00,81.687,82.424,81.687,82.214,82.251,3.05657981,8.0
23,2020-08-09 22:00:00,82.214,82.616,82.005,82.577,82.216,34.95903987,19.0
24,2020-08-09 23:00:00,82.57,83.427,82.57,83.064,83.146,262.20805707,55.0
25,2020-08-10 00:00:00,83.49,83.887,83.115,83.592,83.344,35.99354181,26.0
26,2020-08-10 01:00:00,83.592,83.592,82.484,82.484,82.612,8.61484088,7.0
27,2020-08-10 02:00:00,82.484,83.592,82.484,83.135,83.376,5.89921398,8.0
28,2020-08-10 03:00:00,83.186,83.186,82.9,82.9,82.903,24.4515132,6.0
29,2020-08-10 04:00:00,82.585,83.14,82.139,82.836,82.538,43.06143213,22.0
30,2020-08-10 05:00:00,82.836,83.048,82.445,82.612,82.803,33.15763837,14.0
31,2020-08-10 06:00:00,82.5,82.5,82.499,82.499,82.499,22.30274678,5.0
