,time,open,high,low,close,vwap,volume,count
0,2018-09-20 02:00:00,5478.2,5596.9,5385.2,5514.0,5473.7,4368.84785444,16929.0
1,2018-09-21 02:00:00,5514.0,5766.7,5271.0,5734.4,5672.0,6380.81221265,30986.0
2,2018-09-22 02:00:00,5734.4,5795.4,5626.8,5707.1,5692.8,2877.3452007,17572.0
3,2018-09-23 02:00:00,5707.1,5749.9,5656.5,5691.7,5704.9,1573.41208568,14034.0
4,2018-09-24 02:00:00,5691.7,5708.4,5415.0,5599.7,5606.9,4024.55746985,19183.0
5,2018-09-25 02:00:00,5599.7,5600.2,5385.0,5472.2,5451.2,3691.50801126,18773.0
6,2018-09-26 02:00:00,5472.2,5572.0,5425.1,5496.8,5519.2,3181.28597652,16175.0
7,2018-09-27 02:00:00,5496.3,5760.5,5496.3,5738.7,5585.1,2683.53875848,12998.0
8,2018-09-28 02:00:00,5738.7,5861.0,5620.1,5708.9,5741.9,4225.51949022,17767.0
9,2018-09-29 02:00:00,5708.9,5708.9,5565.6,5668.1,5640.4,2042.14477041,11800.0
10,2018-09-30 02:00:00,5675.7,5716.8,5612.9,5687.0,5671.4,1424.48398348,9379.0
11,2018-10-01 02:00:00,5683.6,5719.0,5584.0,5677.9,5669.2,2783.18002948,14974.0
12,2018-10-02 02:00:00,5679.5,5700.0,5600.0,5628.8,5666.6,2445.7163021,11817.0
13,2018-10-03 02:00:00,5628.8,5645.3,5530.0,5621.3,5604.1,5398.96416794,17749.0
14,2018-10-04 02:00:00,5621.6,5735.9,5614.0,5690.9,5691.4,2811.43693731,13201.0
15,2018-10-05 02:00:00,5690.9,5776.0,5659.4,5725.0,5699.7,2323.78493979,10725.0
16,2018-10-06 02:00:00,5725.0,5732.0,5669.7,5691.9,5690.3,1169.28162688,10350.0
17,2018-10-07 02:00:00,5691.9,5712.5,5626.4,5690.9,5673.2,1753.31886012,12493.0
18,2018-10-08 02:00:00,5690.8,5807.5,5683.4,5757.0,5753.8,3251.10181537,15068.0
19,2018-10-09 02:00:00,5757.0,5779.1,5730.0,5745.0,5750.3,2653.87032922,10356.0
20,2018-10-10 02:00:00,5745.0,5745.0,5608.0,5668.8,5668.0,3373.93932552,11602.0
21,2018-10-11 02:00:00,5668.8,5668.8,5261.5,5314.7,5385.5,8379.34170645,34006.0
22,2018-10-12 02:00:00,5314.9,5405.8,5276.3,5369.3,5370.6,2973.93026567,19785.0
23,2018-10-13 02:00:00,5369.3,5404.5,5357.1,5387.0,5387.6,1342.4215614,7682.0
24,2018-10-14 02:00:00,5387.0,5464.5,5326.0,5357.3,5399.8,1941.56247884,9877.0
25,2018-10-15 02:00:00,5357.3,5849.9,5327.9,5555.8,5589.4,12602.88637964,37925.0
26,2018-10-16 02:00:00,5555.8,5630.0,5529.5,5593.8,5569.1,3342.67606751,13714.0
27,2018-10-17 02:00:00,5593.8,5625.4,5551.0,5607.1,5587.5,3086.25163483,12398.0
28,2018-10-18 02:00:00,5607.1,5639.9,5537.3,5581.6,5593.7,2322.81211921,11084.0
29,2018-10-19 02:00:00,5581.6,5593.4,5545.0,5561.0,5566.1,2469.10884912,9594.0
30,2018-10-20 02:00:00,5560.9,5597.6,5541.9,5581.8,5576.4,916.51929513,6369.0
31,2018-10-21 02:00:00,5580.3,5620.0,5566.3,5573.8,5599.3,1109.35407907,7926.0
32,2018-10-22 02:00:00,5572.2,5612.4,5555.1,5592.3,5580.9,2110.5405585,11975.0
33,2018-10-23 02:00:00,5592.3,5599.9,5560.0,5576.6,5580.4,2447.91554048,14920.0
34,2018-10-24 02:00:00,5576.6,5658.0,5575.1,5628.5,5630.0,2695.43636875,14840.0
35,2018-10-25 02:00:00,5629.2,5640.1,5580.3,5624.2,5618.0,2113.78155085,11094.0
36,2018-10-26 02:00:00,5624.2,5698.7,5609.4,5616.4,5636.7,2044.77664656,13623.0
37,2018-10-27 02:00:00,5616.4,5638.0,5602.4,5626.7,5621.3,819.20466107,6128.0
38,2018-10-28 02:00:00,5626.7,5638.0,5605.0,5631.2,5617.6,809.11949177,6129.0
39,2018-10-29 01:00:00,5631.2,5639.7,5420.2,5502.6,5533.8,3839.40727766,18326.0
40,2018-10-30 01:00:00,5502.3,5549.9,5498.2,5533.4,5516.9,1788.57954446,12679.0
41,2018-10-31 01:00:00,5533.4,5609.6,5480.8,5579.0,5543.2,2211.23975998,11900.0
42,2018-11-01 01:00:00,5579.0,5579.8,5528.0,5557.0,5546.7,2051.4897387,10187.0
43,2018-11-02 01:00:00,5557.1,5590.6,5538.4,5571.9,5565.9,2378.69137065,15989.0
44,2018-11-03 01:00:00,5571.9,5579.3,5539.5,5555.8,5555.2,1192.68664927,9285.0
45,2018-11-04 01:00:00,5555.8,5655.3,5531.6,5624.8,5601.6,1984.43517212,12632.0
46,2018-11-05 01:00:00,5624.8,5639.9,5580.2,5601.0,5617.7,2103.87683663,13079.0
47,2018-11-06 01:00:00,5601.0,5650.0,5595.8,5642.9,5624.0,3001.26971286,18548.0
48,2018-11-07 01:00:00,5642.9,5725.9,5642.9,5689.3,5682.0,3042.93794064,14686.0
49,2018-11-08 01:00:00,5689.3,5697.0,5626.8,5634.6,5658.4,1874.24884768,13438.0
50,2018-11-09 01:00:00,5634.6,5669.9,5562.3,5589.8,5615.0,2857.69164541,16646.0
51,2018-11-10 01:00:00,5589.8,5627.8,5587.3,5596.8,5610.6,966.81343228,11549.0
52,2018-11-11 01:00:00,5596.8,5613.0,5541.9,5612.9,5589.1,1059.362764,7153.0
53,2018-11-12 01:00:00,5612.9,5659.0,5612.9,5637.0,5640.3,1924.95278482,11532.0
