,time,open,high,low,close,vwap,volume,count
0,2020-08-08 23:00:00,329.49,331.86,329.34,331.86,330.59,1007.53128074,509.0
1,2020-08-09 00:00:00,331.86,332.83,330.4,331.7,331.72,1734.54184056,482.0
2,2020-08-09 01:00:00,331.71,336.82,330.05,336.82,333.92,2676.78714154,749.0
3,2020-08-09 02:00:00,336.87,339.24,336.09,337.97,337.92,5494.49549087,1066.0
4,2020-08-09 03:00:00,337.98,338.0,333.8,335.88,335.76,832.53159316,358.0
5,2020-08-09 04:00:00,335.79,336.92,335.43,335.57,336.18,369.61700057,167.0
6,2020-08-09 05:00:00,335.57,337.2,334.95,335.31,336.09,812.55638063,204.0
7,2020-08-09 06:00:00,335.31,336.08,334.12,334.76,335.43,530.68049622,167.0
8,2020-08-09 07:00:00,334.71,335.46,333.57,333.58,334.57,223.09261083,210.0
9,2020-08-09 08:00:00,333.57,335.15,333.45,334.0,334.45,428.84784528,231.0
10,2020-08-09 09:00:00,334.01,336.17,333.98,336.02,335.35,1277.91517665,348.0
11,2020-08-09 10:00:00,336.02,336.58,334.4,335.08,335.42,705.06269703,350.0
12,2020-08-09 11:00:00,335.03,336.14,326.24,330.82,330.68,3788.61903821,1061.0
13,2020-08-09 12:00:00,330.82,332.59,329.07,332.58,330.97,1683.97411437,627.0
14,2020-08-09 13:00:00,332.58,334.14,332.18,332.91,332.99,2079.37009356,545.0
15,2020-08-09 14:00:00,333.07,333.07,329.31,330.6,330.88,871.85202873,501.0
16,2020-08-09 15:00:00,330.6,331.57,328.59,329.5,329.8,927.25058608,499.0
17,2020-08-09 16:00:00,329.33,330.24,326.68,327.43,327.97,2979.02211186,763.0
18,2020-08-09 17:00:00,327.43,329.74,326.36,328.75,328.23,1106.80615207,532.0
19,2020-08-09 18:00:00,328.75,331.94,327.93,329.5,330.55,1053.18430459,502.0
20,2020-08-09 19:00:00,329.44,330.19,327.1,327.26,328.48,1350.03326073,510.0
21,2020-08-09 20:00:00,327.28,331.27,327.27,331.25,329.82,1301.23675743,560.0
22,2020-08-09 21:00:00,331.25,332.34,330.49,330.97,331.51,1292.61579567,575.0
23,2020-08-09 22:00:00,330.97,333.5,330.97,333.49,332.26,1388.42161554,551.0
24,2020-08-09 23:00:00,333.5,334.81,329.73,330.49,333.09,1149.78640816,498.0
25,2020-08-10 00:00:00,330.49,332.27,329.4,330.75,330.55,426.71298281,326.0
26,2020-08-10 01:00:00,330.75,331.82,329.64,331.52,330.43,395.47148412,248.0
27,2020-08-10 02:00:00,331.77,333.83,331.77,332.23,332.8,1117.80014417,348.0
28,2020-08-10 03:00:00,332.47,335.0,331.34,334.99,333.48,989.3652467,315.0
29,2020-08-10 04:00:00,334.95,337.65,334.73,336.09,336.28,3027.53024496,959.0
30,2020-08-10 05:00:00,336.44,337.84,335.18,337.34,336.6,894.94166934,382.0
31,2020-08-10 06:00:00,337.58,339.0,335.7,336.39,337.66,2881.40279785,589.0
32,2020-08-10 07:00:00,336.39,336.84,334.44,335.44,335.69,1566.39783657,486.0
33,2020-08-10 08:00:00,335.59,337.33,335.08,337.33,336.61,859.13708818,461.0
34,2020-08-10 09:00:00,337.33,337.48,335.87,336.31,336.68,2857.64616137,864.0
35,2020-08-10 10:00:00,336.31,337.94,336.02,336.49,337.09,2102.46493937,837.0
36,2020-08-10 11:00:00,336.49,336.83,335.4,335.95,336.2,1755.97519805,606.0
37,2020-08-10 12:00:00,335.93,336.97,328.18,333.13,332.31,4841.57602381,1311.0
38,2020-08-10 13:00:00,333.13,334.7,333.01,333.86,333.97,1660.45907115,551.0
39,2020-08-10 14:00:00,333.85,336.24,333.02,336.24,334.75,1545.36051914,548.0
40,2020-08-10 15:00:00,336.24,337.0,335.5,336.59,336.29,2480.80894326,602.0
41,2020-08-10 16:00:00,336.6,337.64,336.1,336.11,336.81,2174.0746561,621.0
42,2020-08-10 17:00:00,336.1,338.24,334.67,338.23,336.72,2177.69112008,728.0
43,2020-08-10 18:00:00,338.23,338.98,335.52,336.14,337.48,4122.34165264,894.0
44,2020-08-10 19:00:00,336.19,338.8,336.11,338.48,337.38,1073.3077176,577.0
45,2020-08-10 20:00:00,338.48,339.42,337.26,337.34,338.62,1442.37138098,679.0
46,2020-08-10 21:00:00,337.33,338.73,336.82,337.45,337.62,722.44884679,462.0
47,2020-08-10 22:00:00,337.45,338.26,335.52,337.1,336.85,2000.50560373,811.0
48,2020-08-10 23:00:00,337.1,337.1,334.03,335.75,335.36,1946.4857893,640.0
49,2020-08-11 00:00:00,335.71,336.78,334.3,336.56,335.27,1905.99099092,562.0
50,2020-08-11 01:00:00,336.56,337.2,335.54,337.2,336.54,1088.19809745,408.0
51,2020-08-11 02:00:00,337.2,337.99,336.01,337.49,337.16,258.08189062,305.0
52,2020-08-11 03:00:00,337.56,338.99,337.27,338.61,338.38,470.06023864,306.0
53,2020-08-11 04:00:00,338.6,339.0,337.74,337.74,338.58,519.6530048,255.0
54,2020-08-11 05:00:00,337.7,338.32,334.82,335.8,336.6,911.77000907,402.0
55,2020-08-11 06:00:00,335.8,337.35,335.17,336.44,335.93,968.84181568,314.0
56,2020-08-11 07:00:00,336.44,337.24,334.91,337.03,336.49,1025.93389343,438.0
57,2020-08-11 08:00:00,337.02,337.02,333.49,334.49,334.98,1450.70268746,660.0
58,2020-08-11 09:00:00,334.49,335.43,331.9,333.81,334.02,3979.71040592,814.0
59,2020-08-11 10:00:00,333.81,334.17,331.14,331.15,332.25,4670.66645359,863.0
60,2020-08-11 11:00:00,331.15,333.51,331.15,331.47,332.46,4445.87258036,947.0
61,2020-08-11 12:00:00,331.46,333.0,330.01,332.5,331.5,3619.96378577,828.0
62,2020-08-11 13:00:00,332.48,333.79,331.76,333.21,332.73,2289.60335664,826.0
63,2020-08-11 14:00:00,333.25,333.3,328.54,329.01,330.32,4301.24205648,1112.0
64,2020-08-11 15:00:00,329.01,331.06,326.68,330.69,328.52,7661.03029525,1660.0
65,2020-08-11 16:00:00,330.69,331.09,327.63,328.39,329.34,2297.44856515,912.0
66,2020-08-11 17:00:00,328.42,328.83,321.5,325.86,325.53,7540.08630188,1840.0
67,2020-08-11 18:00:00,325.86,327.69,320.26,327.55,324.35,4494.49365996,1417.0
68,2020-08-11 19:00:00,327.55,329.12,325.6,328.7,327.76,1650.97561111,732.0
69,2020-08-11 20:00:00,328.7,328.7,325.07,325.62,326.37,1932.29106554,734.0
70,2020-08-11 21:00:00,325.66,325.79,323.27,324.54,324.29,2268.59792944,750.0
71,2020-08-11 22:00:00,324.54,324.56,313.0,318.27,318.57,8737.39230136,2282.0
72,2020-08-11 23:00:00,318.26,320.9,314.36,318.72,317.99,3054.99745937,1197.0
73,2020-08-12 00:00:00,318.72,320.81,317.48,319.94,319.13,2359.06815869,659.0
74,2020-08-12 01:00:00,319.91,325.26,319.91,323.19,322.45,1240.86929551,580.0
75,2020-08-12 02:00:00,323.23,324.11,321.01,321.26,322.76,557.32397502,288.0
76,2020-08-12 03:00:00,321.51,324.51,321.45,322.58,323.31,546.19077843,263.0
77,2020-08-12 04:00:00,322.66,322.8,318.13,319.13,319.29,1558.59736048,420.0
78,2020-08-12 05:00:00,319.13,321.95,319.12,321.88,320.12,560.4428707,241.0
79,2020-08-12 06:00:00,321.97,322.61,319.19,319.26,320.45,1161.88882427,306.0
80,2020-08-12 07:00:00,319.27,320.5,315.5,315.5,317.7,1807.01480492,630.0
81,2020-08-12 08:00:00,315.74,319.81,312.4,319.81,316.7,3104.07963183,917.0
82,2020-08-12 09:00:00,319.83,324.97,319.43,323.46,321.91,3436.43148982,941.0
83,2020-08-12 10:00:00,323.53,325.72,322.52,323.09,324.2,3951.80567655,921.0
84,2020-08-12 11:00:00,323.08,325.38,322.68,324.75,324.01,1801.09907003,642.0
85,2020-08-12 12:00:00,324.75,327.97,324.1,326.98,326.57,3567.65811211,766.0
86,2020-08-12 13:00:00,326.96,327.74,324.91,325.46,326.35,1669.92865351,631.0
87,2020-08-12 14:00:00,325.46,327.01,323.8,326.93,325.13,796.77048196,522.0
88,2020-08-12 15:00:00,326.95,329.12,325.58,329.01,327.06,2346.93350746,824.0
