,time,open,high,low,close,vwap,volume,count
0,2019-08-22 02:00:00,0.2,0.25,0.17501,0.182,0.18428,261470.06354667,431.0
1,2019-08-23 02:00:00,0.18076,0.18638,0.1746,0.18226,0.17859,228705.55836069,395.0
2,2019-08-24 02:00:00,0.18174,0.18622,0.17527,0.18276,0.17999,214926.59203172,241.0
3,2019-08-25 02:00:00,0.18611,0.18614,0.17053,0.17053,0.17559,128776.30427727,139.0
4,2019-08-26 02:00:00,0.1742,0.2,0.16821,0.17027,0.17232,325312.67481341,315.0
5,2019-08-27 02:00:00,0.16934,0.16989,0.15801,0.1698,0.16419,161860.82544293,152.0
6,2019-08-28 02:00:00,0.16935,0.17998,0.15888,0.16565,0.16964,301742.48306272,298.0
7,2019-08-29 02:00:00,0.16472,0.16474,0.15116,0.15489,0.15618,315070.32824368,341.0
8,2019-08-30 02:00:00,0.15312,0.16368,0.153,0.16071,0.15944,201791.80199694,220.0
9,2019-08-31 02:00:00,0.16152,0.1663,0.1599,0.16089,0.16117,600657.40442906,181.0
10,2019-09-01 02:00:00,0.16197,0.168,0.16061,0.16591,0.16331,88746.09770632,108.0
11,2019-09-02 02:00:00,0.16376,0.2468,0.16218,0.16861,0.17237,354992.46108408,280.0
12,2019-09-03 02:00:00,0.1675,0.1705,0.15,0.1626,0.16526,514831.47552834,370.0
13,2019-09-04 02:00:00,0.16277,0.16422,0.159,0.159,0.16161,88633.47981977,122.0
14,2019-09-05 02:00:00,0.15984,0.15984,0.154,0.1548,0.15588,106078.31096368,94.0
15,2019-09-06 02:00:00,0.15513,0.15803,0.1493,0.15059,0.15398,253078.75192406,250.0
16,2019-09-07 02:00:00,0.1513,0.163,0.14998,0.15999,0.15687,25865.42544514,80.0
17,2019-09-08 02:00:00,0.15815,0.16068,0.15667,0.15926,0.1593,308046.57881264,183.0
18,2019-09-09 02:00:00,0.15944,0.15955,0.14884,0.15661,0.15407,138578.54368993,158.0
19,2019-09-10 02:00:00,0.15645,0.165,0.15545,0.1558,0.15931,279083.65216877,197.0
20,2019-09-11 02:00:00,0.1558,0.15762,0.15276,0.15463,0.1554,71066.73034275,89.0
21,2019-09-12 02:00:00,0.15463,0.165,0.15463,0.15529,0.15988,312970.87469864,262.0
22,2019-09-13 02:00:00,0.15529,0.15847,0.15473,0.15516,0.15626,110458.16398846,85.0
23,2019-09-14 02:00:00,0.15516,0.1596,0.15516,0.15795,0.15748,183923.64227802,149.0
24,2019-09-15 02:00:00,0.15795,0.1587,0.15641,0.15682,0.15731,42453.63149479,53.0
25,2019-09-16 02:00:00,0.15682,0.16362,0.1564,0.1626,0.15901,208403.44645529,249.0
26,2019-09-17 02:00:00,0.1626,0.16887,0.161,0.16649,0.16457,438592.09713284,246.0
27,2019-09-18 02:00:00,0.16649,0.1793,0.166,0.1793,0.17507,725160.45624943,466.0
28,2019-09-19 02:00:00,0.1793,0.1793,0.16424,0.17671,0.17178,410862.61284739,272.0
29,2019-09-20 02:00:00,0.17671,0.19849,0.173,0.19143,0.19144,947093.84684978,670.0
